epoch,train_loss,train_dice,train_iou,train_acc,val_loss,val_dice,val_iou,val_acc
1,0.6330939206237088,0.7962789279734065,0.6983886387295828,0.8994395356930183,0.8105148996014994,0.7330947868615033,0.6107801739200652,0.8304066703139074
2,0.39001542884492113,0.8592689289542254,0.7750511942152492,0.9313650759394297,0.3081716622014445,0.8900930549044058,0.8186115111962733,0.9447486239125529
3,0.31941604902763326,0.8816614028460489,0.8070043861984969,0.9416069841670419,0.33758385648646677,0.8773021327546868,0.8038178774940066,0.9400529899445188
4,0.3726271574948719,0.8585273376006091,0.77880424888667,0.9306542935247669,0.4054907662163218,0.8548979319899206,0.7762544570691082,0.9191754583818504
5,0.376963916697545,0.8564776020968508,0.7761576500481474,0.9287524442234915,0.3671958802408906,0.863805267677839,0.7865152017053855,0.9287974976923361
6,0.38580108720980244,0.8538037659879216,0.7706550094122421,0.9286137731251365,0.3671137260132102,0.8609550108472664,0.782889890005864,0.9292517532390427
7,0.3544942317102959,0.8661632362359061,0.7875751372939812,0.9348025559903143,0.3242776442868301,0.8778557188482399,0.8060053142893362,0.9384920316863345
8,0.337967639361432,0.8727691682155975,0.7967060097082408,0.9374021579643448,0.3173348491647804,0.8803434013370499,0.8073527808208389,0.9398564342483581
9,0.35183485077615984,0.8663394532041874,0.7875896236318314,0.9348687116733331,0.320056224872629,0.879401858109402,0.8078602025233417,0.9377712690497775
10,0.32988425765833457,0.8759937338129489,0.8015563581399099,0.9389957610718505,0.3151125215676676,0.8808144611191464,0.809533560181044,0.939518869160656
11,0.32163992899650345,0.8803697011308994,0.8073634089467054,0.9405086064291096,0.32807594291361203,0.8779313158229053,0.8042113951952808,0.9375822363621685
12,0.3078474287769038,0.8851222262054146,0.8140899263575168,0.9429782954994552,0.3042487366740922,0.8866396577234762,0.8196626025367069,0.9419918440252661
13,0.29989470203152435,0.8884665371177202,0.8191435599993327,0.9442526023544952,0.3252946146099691,0.8792117292662541,0.809426494566093,0.9358312295252583
14,0.2961217882613579,0.8894683100030332,0.8208925945018818,0.9448569482434057,0.3059005833479513,0.8880497540135782,0.8165243968545678,0.9424942240297082
15,0.2927928980952965,0.8899846267319487,0.8213986498629023,0.9454214530076809,0.28771463309626183,0.8927221818274236,0.8260509224526911,0.9449099026828173
16,0.2865831124077657,0.8927125595286934,0.8253024898008434,0.9464384828974863,0.29144947637481045,0.8886282534238352,0.820855924570228,0.9438750254680436
17,0.2825306631892384,0.8947527816076717,0.8283310298196332,0.9473600711175305,0.27460989124508967,0.8985160313754442,0.8335023636361992,0.9470462141283955
18,0.2787456552604001,0.8958920972076004,0.8297947336456732,0.9479447362903587,0.2692236968601842,0.8997784807862513,0.8358789304813066,0.9481955018651438
19,0.27804687462315825,0.8957682550548317,0.8299390565670893,0.9479183836611446,0.30571779347510925,0.8867866401653366,0.8180442561666329,0.9407484631139443
20,0.3000848355541329,0.8873192780389043,0.8176191196946089,0.9440329279490336,0.28063150008479915,0.8947527622321687,0.8298408947142947,0.9460724758436956
21,0.28157217892820013,0.8947888643679742,0.8286319050841227,0.9473132687414477,0.28477744404894423,0.8910618068212532,0.8230127105674896,0.9445048760607898
22,0.2705231460774254,0.898477782032447,0.8339791666128916,0.9490607008486689,0.2864174987690382,0.8943465133587203,0.8282317281719223,0.9462745384391086
23,0.2943584335049588,0.8891324143923686,0.8198182545974108,0.9450879011325494,0.2941489878641182,0.8924248743342214,0.8252048884255002,0.9439830148362544
24,0.276543477241567,0.8958181369447422,0.8295807773005701,0.948115217471551,0.2923634480017115,0.8889314653389008,0.8199865756281819,0.9441579411704227
25,0.2903307932363953,0.8916622184350819,0.8240764348687764,0.9460147907158096,0.2710042090351838,0.89804825174856,0.834617778362031,0.9480066439545012
26,0.26464770676311616,0.9009607062487307,0.8372368925583815,0.9500517188431974,0.26390248869519783,0.9013604312778944,0.8381099774543033,0.9493030710999234
